"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"RPL41"	0	0.352585868946084	1	0.997	0	"Cycling B"	"RPL41"
"TRIP13"	0	0.351623436218505	0.233	0.009	0	"Cycling B"	"TRIP13"
"PLK4"	0	0.350819478190051	0.225	0.008	0	"Cycling B"	"PLK4"
"SKA3"	0	0.349846499505519	0.225	0.003	0	"Cycling B"	"SKA3"
"RAD54L"	0	0.349266945679499	0.207	0.002	0	"Cycling B"	"RAD54L"
"SKA1"	0	0.334171229811303	0.213	0.003	0	"Cycling B"	"SKA1"
"IDH2"	9.16742948474004e-307	0.539774921884371	0.659	0.281	1.74052816197274e-302	"Cycling B"	"IDH2"
"ECT2"	6.43705042658770e-306	0.377595968157184	0.229	0.012	1.22213839399194e-301	"Cycling B"	"ECT2"
"RALY"	4.06725898834749e-305	0.601917092607933	0.781	0.421	7.72209791527655e-301	"Cycling B"	"RALY"
"MIF"	1.11414327117069e-303	0.766540160487673	0.962	0.832	2.11531241464467e-299	"Cycling B"	"MIF"
"POLA2"	1.529294663315e-303	0.388915056422352	0.299	0.044	2.90351884776985e-299	"Cycling B"	"POLA2"
"E2F2"	1.69459666950613e-303	0.361397114451516	0.209	0.005	3.21736123672433e-299	"Cycling B"	"E2F2"
"INCENP"	3.66674353461134e-303	0.386390846393648	0.23	0.013	6.96167927481309e-299	"Cycling B"	"INCENP"
"RBBP8"	3.48515322591649e-302	0.447044630800856	0.403	0.1	6.61691191472504e-298	"Cycling B"	"RBBP8"
"CCDC18"	9.48088658319529e-300	0.454668087565108	0.388	0.092	1.80004112668546e-295	"Cycling B"	"CCDC18"
"KIF14"	3.89040134337616e-297	0.431135105015914	0.209	0.007	7.38631599053398e-293	"Cycling B"	"KIF14"
"HADH"	5.35965942757297e-297	0.456060220450794	0.467	0.142	1.017584938919e-292	"Cycling B"	"HADH"
"TOPBP1"	3.90750555176132e-296	0.450495740371245	0.423	0.114	7.41879004057404e-292	"Cycling B"	"TOPBP1"
"PAICS"	1.7177335944808e-295	0.548333561174171	0.463	0.145	3.26128900248124e-291	"Cycling B"	"PAICS"
"SLC25A5"	3.58065886837136e-294	0.474780951457755	0.976	0.886	6.79823892748986e-290	"Cycling B"	"SLC25A5"
"KNSTRN"	1.65388303546691e-292	0.433172485591901	0.243	0.022	3.14006233113748e-288	"Cycling B"	"KNSTRN"
"SUPT16H"	1.13843268918316e-291	0.4847928425339	0.554	0.203	2.16142830368316e-287	"Cycling B"	"SUPT16H"
