"Cycling B"	"LZ GC"	"DZ GC"	"GC"	"prePB"	"FCRL2/3high GC"
"NMNAT1"	0.0480945892941421	0.0336502813353451	0.0730659395330622	0.0610594275324083	0.0217246589230241	0.0401636947443318
"UBE4B"	0.151268272953559	0.125133611311151	0.144027595835144	0.166231732946848	0.182621564599299	0.196947539980053
"KIF1B"	0.0158365162521524	0.0164806636162731	0.0208874867951943	0.0136238225893247	0.013161687380969	0
"PGD"	0.382429892225268	0.307853630026685	0.192303286868092	0.171322947847055	0.361226089737363	0.217077952518911
"AL139424.1"	0.0066674443934453	0.0033551474101047	0	0	0	0
"CENPS-CORT"	0.0343966818907525	0.0170148820005664	0.00594425445742274	0.00351776409277291	0	0
"CENPS"	0.0636772895583638	0.0230179707704477	0.0140643424833171	0.00826750796769102	0.00843949704104684	0
"CORT"	0.00599331141045631	0	0.00100526558111387	0.000209730122843337	0	0
"DFFA"	0.346577991159698	0.439269465264967	0.290183669125719	0.384108449411976	0.425450046940153	0.416066664945245
"PEX14"	0.0953364142507162	0.132149666631038	0.122225473363137	0.134746883190983	0.0640633571718338	0.0745439336433388
"CASZ1"	0.0307032261661036	0.0678293921776475	0.0442844226055479	0.0381077184617898	0.00869527411851658	0
"AL139423.1"	0.000705724108993617	0.00500299872671099	0.00534126594818576	0.00156250756839603	0	0
"TARDBP"	0.315455216083055	0.196381199510902	0.266508029916128	0.229302734383858	0.187225635355337	0.264479828171416
"MASP2"	0.000265019366367964	0.0023091285856726	0	0	0	0
"AL109811.3"	0.0060470486205019	0.00378826411371991	0.0114660983812208	0.00653560061890985	0	0
"SRM"	0.443019287449212	0.916195882693403	0.146543902003206	0.18672202783795	0.195559773593736	0.249905196746364
"EXOSC10"	0.390430540581665	0.254714882457612	0.274524812714386	0.345491806976538	0.20188898854705	0.344837901534283
"AL109811.1"	0.000840615403334767	0	0.00076023739476984	0.000950268347705445	0	0
"AL109811.2"	0.00482826816795124	0	0.000692399030392094	0.00397031644627694	0	0
"MTOR"	0.222832011394374	0.240976946880583	0.16142123794821	0.205366882841503	0.162600582646499	0.226378249915411
"UBIAD1"	0.20126245463574	0.266504255630722	0.224198987922233	0.240498615758822	0.125253305878701	0.131587613083606
"DISP3"	0.000264046443320917	0	0.00148276991905865	0.00205449591504577	0	0
"FBXO2"	0.00633833567397257	0.00202953775761106	0.004941091076877	0.010368005961384	0	0.0536887359198176
"FBXO44"	0.117106728554933	0.144474251305823	0.143008076443473	0.254787488884333	0.178522043003798	0.389114093980729
"FBXO6"	0.0320437692335127	0.0438230534756373	0.0165584348180731	0.0239320865096065	0.0484844517433219	0.0248965572838313
"MAD2L2"	1.08184444402211	0.374684609300839	0.281471109402884	0.329253584060706	0.511237430819629	0.352063056050394
"DRAXIN"	0.0029164452307763	0.00619136609211457	0.00275098196120699	0.0057632103241672	0	0
"AGTRAP"	0.0805652442085828	0.0660685085594357	0.0399661565802617	0.0838054197004403	0.126584720849441	0.212052732673368
"C1orf167"	0.0018265149323493	0	0.00179440239760871	0	0	0
"MTHFR"	0.119406324617557	0.120019281678166	0.146480079617943	0.199429921564006	0.171955509523523	0.0753874935797375
